Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,299120.000000,303150.000000,296000.000000,297000.000000,297000.000000,500
2018-12-18,299030.000000,300540.000000,292524.000000,294500.000000,294500.000000,800
2018-12-19,295000.000000,301000.000000,290627.000000,293040.000000,293040.000000,500
2018-12-20,290425.000000,292975.000000,287485.000000,290100.000000,290100.000000,700
2018-12-21,290000.000000,296100.000000,287800.000000,288000.000000,288000.000000,500
2018-12-24,288000.000000,288000.000000,281000.000000,282640.000000,282640.000000,400
2018-12-26,283250.000000,296745.000000,279410.000000,294850.000000,294850.000000,500
2018-12-27,293000.000000,299800.000000,288000.000000,298500.000000,298500.000000,600
2018-12-28,300005.000000,306900.000000,300005.000000,302600.000000,302600.000000,500
2018-12-31,306000.000000,307479.000000,301618.000000,306000.000000,306000.000000,300
2019-01-02,302000.000000,306255.000000,301880.000000,304057.000000,304057.000000,400
2019-01-03,300000.000000,300000.000000,286650.000000,287000.000000,287000.000000,700
2019-01-04,292715.000000,295404.000000,290755.000000,292500.000000,292500.000000,800
2019-01-07,294500.000000,297170.000000,292970.000000,295400.000000,295400.000000,600
2019-01-08,299060.000000,299060.000000,292179.000000,294300.000000,294300.000000,300
2019-01-09,295990.000000,296250.000000,292600.000000,294560.000000,294560.000000,300
2019-01-10,293600.000000,296725.000000,292815.000000,295160.000000,295160.000000,300
2019-01-11,293750.000000,294300.000000,292000.000000,293980.000000,293980.000000,500
2019-01-14,291750.000000,294631.000000,291650.000000,292371.000000,292371.000000,500
2019-01-15,294180.000000,295880.000000,293009.000000,295000.000000,295000.000000,500
2019-01-16,296300.000000,299300.000000,295811.000000,295811.000000,295811.000000,700
2019-01-17,297000.000000,299075.000000,294970.000000,297547.000000,297547.000000,200
2019-01-18,301398.000000,306725.000000,300603.000000,306500.000000,306500.000000,400
2019-01-22,305000.000000,307305.000000,298794.000000,300531.000000,300531.000000,300
2019-01-23,300725.000000,301850.000000,298000.000000,301835.000000,301835.000000,200
2019-01-24,300035.000000,302100.000000,299740.000000,301680.000000,301680.000000,200
2019-01-25,304561.000000,306950.000000,303265.000000,303531.000000,303531.000000,200
2019-01-28,301900.000000,302240.000000,299850.000000,301000.000000,301000.000000,400
2019-01-29,300880.000000,303014.000000,300745.000000,303000.000000,303000.000000,200
2019-01-30,305900.000000,311145.000000,304800.000000,309180.000000,309180.000000,300
2019-01-31,307540.000000,311890.000000,306195.000000,311500.000000,311500.000000,500
2019-02-01,310005.000000,313960.000000,309965.000000,313875.000000,313875.000000,400
2019-02-04,313650.000000,313650.000000,310470.000000,312000.000000,312000.000000,300
2019-02-05,312550.000000,313000.000000,310155.000000,310700.000000,310700.000000,400
2019-02-06,310000.000000,310449.000000,307780.000000,308810.000000,308810.000000,100
2019-02-07,307000.000000,307150.000000,301100.000000,302813.000000,302813.000000,200
2019-02-08,301000.000000,301390.000000,297381.000000,300771.000000,300771.000000,200
2019-02-11,302375.000000,304930.000000,302350.000000,304884.000000,304884.000000,200
2019-02-12,307900.000000,310000.000000,307655.000000,309260.000000,309260.000000,200
2019-02-13,309650.000000,312140.000000,308025.000000,308320.000000,308320.000000,400
2019-02-14,306895.000000,306895.000000,302585.000000,303890.000000,303890.000000,200
2019-02-15,307000.000000,308320.000000,305850.000000,308139.000000,308139.000000,200
2019-02-19,307820.000000,309350.000000,307295.000000,307315.000000,307315.000000,200
2019-02-20,308375.000000,309500.000000,307500.000000,309500.000000,309500.000000,100
2019-02-21,308992.000000,309800.000000,306535.000000,307925.000000,307925.000000,200
2019-02-22,305434.000000,305434.000000,300000.000000,302000.000000,302000.000000,400
2019-02-25,303050.000000,307500.000000,302000.000000,303300.000000,303300.000000,300
2019-02-26,303900.000000,303900.000000,302000.000000,302500.000000,302500.000000,200
2019-02-27,302500.000000,303503.000000,302100.000000,303000.000000,303000.000000,300
2019-02-28,303605.000000,303710.000000,302000.000000,302200.000000,302200.000000,200
2019-03-01,304520.000000,306416.000000,303000.000000,304860.000000,304860.000000,200
2019-03-04,304900.000000,307315.000000,301200.000000,303400.000000,303400.000000,300
2019-03-05,302825.000000,303100.000000,301300.000000,302600.000000,302600.000000,200
2019-03-06,302300.000000,303548.000000,301200.000000,301375.000000,301375.000000,100
2019-03-07,300800.000000,301000.000000,297500.000000,299050.000000,299050.000000,300
2019-03-08,297000.000000,299161.000000,295900.000000,299000.000000,299000.000000,200
2019-03-11,300000.000000,303451.000000,300000.000000,303279.000000,303279.000000,200
2019-03-12,304200.000000,305540.000000,303725.000000,304235.000000,304235.000000,200
2019-03-13,304500.000000,308026.000000,304355.000000,306300.000000,306300.000000,400
2019-03-14,305360.000000,306555.000000,304300.000000,305350.000000,305350.000000,100
2019-03-15,306440.000000,309171.000000,306000.000000,307250.000000,307250.000000,300
2019-03-18,308140.000000,310394.000000,308140.000000,309996.000000,309996.000000,300
2019-03-19,311100.000000,311299.000000,307100.000000,307900.000000,307900.000000,200
2019-03-20,307900.000000,307922.000000,304850.000000,305505.000000,305505.000000,200
2019-03-21,304000.000000,307120.000000,303390.000000,307120.000000,307120.000000,200
2019-03-22,305940.000000,305940.000000,300717.000000,301225.000000,301225.000000,300
2019-03-25,301227.000000,303410.000000,297900.000000,299380.000000,299380.000000,300
2019-03-26,301425.000000,302018.000000,298500.000000,300961.000000,300961.000000,200
2019-03-27,300851.000000,301481.000000,297900.000000,299764.000000,299764.000000,300
2019-03-28,300050.000000,301250.000000,298400.000000,301250.000000,301250.000000,200
2019-03-29,302500.000000,302579.000000,300152.000000,301215.000000,301215.000000,500
2019-04-01,302800.000000,307930.000000,302800.000000,307800.000000,307800.000000,400
2019-04-02,307000.000000,307900.000000,305417.000000,306000.000000,306000.000000,200
2019-04-03,308000.000000,308240.000000,304600.000000,305750.000000,305750.000000,200
2019-04-04,305250.000000,307385.000000,305100.000000,306461.000000,306461.000000,300
2019-04-05,305495.000000,308375.000000,305495.000000,307776.000000,307776.000000,300
2019-04-08,307674.000000,308598.000000,306185.000000,307461.000000,307461.000000,100
2019-04-09,306820.000000,307380.000000,305600.000000,307380.000000,307380.000000,100
2019-04-10,307700.000000,307700.000000,305600.000000,307000.000000,307000.000000,200
2019-04-11,308074.000000,310500.000000,306899.000000,309875.000000,309875.000000,200
2019-04-12,311000.000000,317226.000000,311000.000000,314250.000000,314250.000000,200
2019-04-15,315000.000000,315345.000000,311570.000000,314500.000000,314500.000000,200
2019-04-16,315000.000000,317500.000000,315000.000000,317500.000000,317500.000000,100
2019-04-17,318000.000000,318519.000000,314694.000000,316040.000000,316040.000000,100
2019-04-18,316620.000000,317003.000000,314610.000000,315330.000000,315330.000000,100
2019-04-22,313800.000000,315310.000000,313460.000000,314100.000000,314100.000000,100
2019-04-23,313865.000000,317730.000000,313756.000000,317684.000000,317684.000000,200
2019-04-24,317025.000000,317703.000000,315561.000000,316000.000000,316000.000000,200
2019-04-25,314900.000000,319015.000000,314295.000000,318500.000000,318500.000000,300
2019-04-26,318505.000000,321494.000000,318420.000000,321000.000000,321000.000000,400
2019-04-29,322000.000000,325845.000000,322000.000000,324921.000000,324921.000000,400
2019-04-30,325000.000000,325615.000000,322294.000000,325080.000000,325080.000000,200
2019-05-01,325700.000000,328013.000000,324926.000000,325900.000000,325900.000000,300
2019-05-02,325000.000000,326557.000000,322861.000000,324214.000000,324214.000000,200
2019-05-03,326000.000000,328555.000000,325385.000000,327766.000000,327766.000000,200
2019-05-06,322100.000000,322250.000000,317390.000000,320000.000000,320000.000000,600
2019-05-07,316400.000000,317755.000000,312000.000000,315120.000000,315120.000000,700
2019-05-08,314900.000000,324000.000000,312500.000000,314750.000000,314750.000000,400
2019-05-09,313500.000000,314890.000000,308325.000000,314400.000000,314400.000000,400
2019-05-10,310850.000000,315910.000000,308601.000000,315500.000000,315500.000000,400
2019-05-13,309750.000000,311000.000000,308360.000000,308360.000000,308360.000000,500
2019-05-14,310100.000000,312081.000000,306666.000000,306850.000000,306850.000000,300
2019-05-15,306000.000000,307595.000000,303475.000000,305580.000000,305580.000000,200
2019-05-16,308000.000000,311000.000000,307690.000000,307936.000000,307936.000000,200
2019-05-17,305450.000000,309023.000000,305150.000000,306355.000000,306355.000000,100
2019-05-20,305100.000000,305975.000000,304138.000000,305362.000000,305362.000000,100
2019-05-21,306000.000000,307481.000000,305400.000000,306225.000000,306225.000000,200
2019-05-22,305234.000000,306355.000000,304188.000000,304300.000000,304300.000000,100
2019-05-23,303000.000000,304200.000000,300593.000000,304115.000000,304115.000000,400
2019-05-24,304540.000000,305000.000000,302850.000000,303000.000000,303000.000000,100
2019-05-28,304350.000000,304500.000000,301000.000000,301050.000000,301050.000000,300
2019-05-29,300100.000000,300810.000000,298070.000000,299860.000000,299860.000000,400
2019-05-30,300025.000000,301662.000000,300025.000000,300877.000000,300877.000000,200
2019-05-31,298000.000000,299339.000000,296800.000000,297060.000000,297060.000000,300
2019-06-03,297000.000000,299775.000000,296623.000000,299742.000000,299742.000000,300
2019-06-04,301790.000000,304000.000000,301500.000000,304000.000000,304000.000000,200
2019-06-05,305300.000000,306543.000000,303400.000000,306400.000000,306400.000000,200
2019-06-06,305800.000000,308566.000000,305200.000000,307900.000000,307900.000000,400
2019-06-07,310000.000000,310500.000000,308940.000000,309265.000000,309265.000000,300
2019-06-10,310460.000000,312500.000000,310280.000000,311524.000000,311524.000000,200
2019-06-11,313190.000000,313600.000000,309315.000000,310238.000000,310238.000000,200
2019-06-12,309250.000000,310086.000000,306465.000000,307196.000000,307196.000000,200
2019-06-13,307000.000000,308550.000000,306795.000000,307445.000000,307445.000000,200
2019-06-14,306695.000000,308800.000000,306320.000000,308206.000000,308206.000000,100
2019-06-17,308206.000000,308206.000000,305000.000000,305480.000000,305480.000000,100
2019-06-18,306915.000000,309800.000000,306410.000000,308885.000000,308885.000000,300
2019-06-19,309740.000000,312450.000000,309550.000000,310966.000000,310966.000000,300
2019-06-20,312600.000000,313000.000000,309120.000000,312900.000000,312900.000000,300
2019-06-21,311378.000000,313100.000000,309000.000000,309000.000000,309000.000000,300
2019-06-24,309000.000000,311300.000000,309000.000000,310650.000000,310650.000000,200
2019-06-25,310500.000000,312700.000000,309513.000000,312700.000000,312700.000000,300
2019-06-26,312385.000000,315000.000000,312350.000000,312705.000000,312705.000000,200
2019-06-27,313200.000000,318750.000000,313200.000000,318285.000000,318285.000000,400
2019-06-28,319400.000000,319960.000000,317107.000000,318350.000000,318350.000000,300
2019-07-01,321032.000000,322700.000000,319943.000000,321891.000000,321891.000000,400
