Local time,Open,High,Low,Close,Volume
24.01.2022 06:30:00.000 GMT-0800,24.986,24.986,24.986,24.986,2.4
24.01.2022 06:30:04.000 GMT-0800,24.987,24.987,24.987,24.987,1.2
24.01.2022 06:30:05.000 GMT-0800,24.997,25.016,24.997,25.016,3.5999999999999996
24.01.2022 06:30:08.000 GMT-0800,25.017,25.036,25.016,25.036,7.2
24.01.2022 06:30:14.000 GMT-0800,25.057,25.057,25.057,25.057,1.2
24.01.2022 06:30:17.000 GMT-0800,25.056,25.077,25.056,25.067,6
24.01.2022 06:30:18.000 GMT-0800,25.066,25.077,25.066,25.077,2.1
24.01.2022 06:30:31.000 GMT-0800,25.076,25.086,25.076,25.086,2.4
24.01.2022 06:30:32.000 GMT-0800,25.077,25.077,25.077,25.077,1.2
24.01.2022 06:30:33.000 GMT-0800,25.087,25.087,25.087,25.087,1.2
24.01.2022 06:30:34.000 GMT-0800,25.086,25.086,25.077,25.077,2.1
24.01.2022 06:30:38.000 GMT-0800,25.076,25.087,25.076,25.087,2.4
24.01.2022 06:30:40.000 GMT-0800,25.077,25.087,25.076,25.087,3.5999999999999996
24.01.2022 06:30:42.000 GMT-0800,25.087,25.087,25.076,25.076,2.1
24.01.2022 06:30:43.000 GMT-0800,25.066,25.066,25.066,25.066,2.4
24.01.2022 06:30:44.000 GMT-0800,25.057,25.076,25.057,25.076,4.8
24.01.2022 06:30:45.000 GMT-0800,25.087,25.087,25.077,25.077,2.4
24.01.2022 06:30:46.000 GMT-0800,25.076,25.087,25.076,25.087,2.1
24.01.2022 06:30:47.000 GMT-0800,25.086,25.096,25.086,25.096,2.4
24.01.2022 06:30:48.000 GMT-0800,25.106,25.106,25.106,25.106,1.2
24.01.2022 06:30:49.000 GMT-0800,25.096,25.107,25.096,25.096,4.8
24.01.2022 06:30:50.000 GMT-0800,25.107,25.107,25.107,25.107,1.2
24.01.2022 06:30:51.000 GMT-0800,25.106,25.106,25.086,25.086,4.2
24.01.2022 06:30:52.000 GMT-0800,25.086,25.086,25.076,25.076,2.1
24.01.2022 06:30:53.000 GMT-0800,25.076,25.076,25.066,25.066,2.1
24.01.2022 06:30:58.000 GMT-0800,25.167,25.177,25.167,25.177,1.2012
24.01.2022 06:30:59.000 GMT-0800,25.166,25.187,25.166,25.187,7.2
24.01.2022 06:31:00.000 GMT-0800,25.177,25.177,25.166,25.166,6
24.01.2022 06:31:01.000 GMT-0800,25.166,25.186,25.166,25.176,3.5999999999999996
24.01.2022 06:31:02.000 GMT-0800,25.167,25.167,25.166,25.166,2.4
24.01.2022 06:31:03.000 GMT-0800,25.166,25.167,25.166,25.167,2.4
24.01.2022 06:31:04.000 GMT-0800,25.166,25.187,25.166,25.187,4.8
24.01.2022 06:31:05.000 GMT-0800,25.177,25.186,25.177,25.186,2.4
24.01.2022 06:31:08.000 GMT-0800,25.186,25.197,25.186,25.196,9.600000000000001
24.01.2022 06:31:09.000 GMT-0800,25.187,25.187,25.176,25.176,2.4
24.01.2022 06:31:10.000 GMT-0800,25.167,25.186,25.167,25.186,6.9
24.01.2022 06:31:11.000 GMT-0800,25.187,25.187,25.176,25.187,6
24.01.2022 06:31:12.000 GMT-0800,25.197,25.197,25.197,25.197,2.1
24.01.2022 06:31:13.000 GMT-0800,25.187,25.187,25.156,25.167,7.2
24.01.2022 06:31:14.000 GMT-0800,25.157,25.157,25.147,25.147,3.5999999999999996
24.01.2022 06:31:15.000 GMT-0800,25.136,25.147,25.136,25.136,4.8
24.01.2022 06:31:16.000 GMT-0800,25.136,25.147,25.117,25.117,6.9
24.01.2022 06:31:17.000 GMT-0800,25.126,25.126,25.116,25.126,4.5
24.01.2022 06:31:18.000 GMT-0800,25.127,25.127,25.116,25.116,5.699999999999999
24.01.2022 06:31:21.000 GMT-0800,25.106,25.107,25.106,25.107,2.4
24.01.2022 06:31:23.000 GMT-0800,25.096,25.096,25.086,25.086,2.4
24.01.2022 06:31:25.000 GMT-0800,25.096,25.096,25.076,25.076,6
24.01.2022 06:31:26.000 GMT-0800,25.067,25.067,25.067,25.067,1.2
24.01.2022 06:31:27.000 GMT-0800,25.067,25.067,25.046,25.046,6
24.01.2022 06:31:28.000 GMT-0800,25.037,25.046,25.036,25.037,7.2
24.01.2022 06:31:29.000 GMT-0800,25.047,25.047,25.036,25.037,4.8
24.01.2022 06:31:30.000 GMT-0800,25.046,25.057,25.036,25.057,7.2
24.01.2022 06:31:31.000 GMT-0800,25.067,25.067,25.046,25.046,6
24.01.2022 06:31:32.000 GMT-0800,25.047,25.056,25.036,25.047,7.2
24.01.2022 06:31:33.000 GMT-0800,25.056,25.056,25.056,25.056,1.2
24.01.2022 06:31:34.000 GMT-0800,25.066,25.067,25.056,25.066,4.5
24.01.2022 06:31:35.000 GMT-0800,25.067,25.097,25.067,25.097,6
24.01.2022 06:31:36.000 GMT-0800,25.107,25.116,25.107,25.116,3.5999999999999996
24.01.2022 06:31:37.000 GMT-0800,25.106,25.117,25.106,25.117,2.4
24.01.2022 06:31:38.000 GMT-0800,25.107,25.117,25.107,25.117,2.4
24.01.2022 06:31:39.000 GMT-0800,25.127,25.136,25.127,25.136,2.4
24.01.2022 06:31:40.000 GMT-0800,25.136,25.147,25.136,25.147,4.5
24.01.2022 06:31:41.000 GMT-0800,25.167,25.167,25.156,25.166,6
24.01.2022 06:31:42.000 GMT-0800,25.167,25.187,25.166,25.187,8.4
24.01.2022 06:31:43.000 GMT-0800,25.196,25.206,25.196,25.206,4.8
24.01.2022 06:31:44.000 GMT-0800,25.217,25.226,25.217,25.226,3.5999999999999996
24.01.2022 06:31:45.000 GMT-0800,25.217,25.217,25.206,25.216,3.5999999999999996
24.01.2022 06:31:46.000 GMT-0800,25.207,25.207,25.196,25.207,3.5999999999999996
24.01.2022 06:31:47.000 GMT-0800,25.206,25.227,25.206,25.227,7.2
24.01.2022 06:31:48.000 GMT-0800,25.226,25.226,25.226,25.226,2.4
24.01.2022 06:31:49.000 GMT-0800,25.237,25.237,25.237,25.237,1.2
24.01.2022 06:31:51.000 GMT-0800,25.246,25.246,25.236,25.236,2.4
24.01.2022 06:31:53.000 GMT-0800,25.226,25.246,25.226,25.246,3.5999999999999996
24.01.2022 06:31:54.000 GMT-0800,25.237,25.246,25.236,25.237,6
24.01.2022 06:31:55.000 GMT-0800,25.226,25.226,25.196,25.196,6
24.01.2022 06:31:56.000 GMT-0800,25.197,25.207,25.196,25.207,7.2
24.01.2022 06:31:57.000 GMT-0800,25.197,25.207,25.197,25.197,4.5
24.01.2022 06:31:58.000 GMT-0800,25.207,25.237,25.207,25.237,6
24.01.2022 06:31:59.000 GMT-0800,25.226,25.226,25.226,25.226,1.2
24.01.2022 06:32:00.000 GMT-0800,25.226,25.237,25.226,25.227,4.499999999999999
24.01.2022 06:32:01.000 GMT-0800,25.226,25.236,25.226,25.236,2.4
