Local time,Ask,Bid,AskVolume,BidVolume
18.01.2022 06:30:00.017 GMT-0800,19.273,19.237000000000002,0.75,0.75
18.01.2022 06:30:00.068 GMT-0800,19.273,19.227,0.75,1
18.01.2022 06:30:00.735 GMT-0800,19.253,19.217000000000002,0.75,1
18.01.2022 06:30:00.929 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:00.981 GMT-0800,19.273,19.247,0.75,1
18.01.2022 06:30:01.082 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:01.132 GMT-0800,19.273,19.237000000000002,0.75,1
18.01.2022 06:30:01.277 GMT-0800,19.264000000000003,19.236,0,1
18.01.2022 06:30:01.378 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:01.483 GMT-0800,19.253,19.247,0.0008,0.75
18.01.2022 06:30:01.533 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:01.814 GMT-0800,19.254,19.246,0.0008,0.75
18.01.2022 06:30:01.865 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:01.966 GMT-0800,19.264000000000003,19.236,0.75,1
18.01.2022 06:30:02.117 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:02.258 GMT-0800,19.263,19.237000000000002,0.75,1
18.01.2022 06:30:02.460 GMT-0800,19.264000000000003,19.246,0.75,1
18.01.2022 06:30:04.514 GMT-0800,19.274,19.246,0.75,1
18.01.2022 06:30:04.615 GMT-0800,19.264000000000003,19.246,0.75,1
18.01.2022 06:30:07.171 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:08.236 GMT-0800,19.253,19.247,0,0.0008
18.01.2022 06:30:08.287 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:08.761 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:09.016 GMT-0800,19.243,19.237000000000002,0.0008,0.75
18.01.2022 06:30:09.070 GMT-0800,19.243,19.227,0.75,1
18.01.2022 06:30:09.527 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:10.344 GMT-0800,19.243,19.227,0.75,1
18.01.2022 06:30:11.152 GMT-0800,19.234,19.216,0.75,1
18.01.2022 06:30:11.874 GMT-0800,19.243,19.217000000000002,0.75,1
18.01.2022 06:30:11.924 GMT-0800,19.233,19.217000000000002,0.75,1
18.01.2022 06:30:16.250 GMT-0800,19.224,19.206,0.75,1
18.01.2022 06:30:18.177 GMT-0800,19.233,19.217000000000002,0.75,1
18.01.2022 06:30:18.681 GMT-0800,19.244,19.216,0.75,1
18.01.2022 06:30:18.731 GMT-0800,19.244,19.226,0.75,1
18.01.2022 06:30:19.420 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:20.366 GMT-0800,19.264000000000003,19.246,0.75,1
18.01.2022 06:30:20.617 GMT-0800,19.274,19.256,0.75,1
18.01.2022 06:30:22.345 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:22.798 GMT-0800,19.273,19.257,0.75,1
18.01.2022 06:30:23.875 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:24.211 GMT-0800,19.274,19.256,0.75,1
18.01.2022 06:30:25.750 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:25.952 GMT-0800,19.264000000000003,19.236,0.75,1
18.01.2022 06:30:26.003 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:26.104 GMT-0800,19.264000000000003,19.246,0.75,1
18.01.2022 06:30:28.023 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:28.730 GMT-0800,19.243,19.227,0.75,1
18.01.2022 06:30:28.967 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:30.555 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:32.743 GMT-0800,19.274,19.256,0.75,1
18.01.2022 06:30:33.025 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:34.465 GMT-0800,19.273,19.257,0.75,1
18.01.2022 06:30:35.782 GMT-0800,19.264000000000003,19.246,0.75,1
18.01.2022 06:30:39.876 GMT-0800,19.264000000000003,19.236,0.75,1
18.01.2022 06:30:39.977 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:40.078 GMT-0800,19.243,19.227,0.75,1
18.01.2022 06:30:40.407 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:41.893 GMT-0800,19.264000000000003,19.246,0.75,1
18.01.2022 06:30:41.994 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:42.906 GMT-0800,19.264000000000003,19.236,0.75,1
18.01.2022 06:30:42.958 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:43.059 GMT-0800,19.264000000000003,19.256,0,0.0008
18.01.2022 06:30:43.109 GMT-0800,19.274,19.256,0.75,1
18.01.2022 06:30:43.518 GMT-0800,19.274,19.246,0.75,1
18.01.2022 06:30:43.619 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:44.667 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:45.490 GMT-0800,19.243,19.227,0.75,1
18.01.2022 06:30:45.656 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:46.984 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:48.604 GMT-0800,19.253,19.237000000000002,0.75,1
18.01.2022 06:30:49.056 GMT-0800,19.264000000000003,19.246,0.75,1
18.01.2022 06:30:51.639 GMT-0800,19.273,19.257,0.75,1
18.01.2022 06:30:53.093 GMT-0800,19.283,19.267,0.75,1
18.01.2022 06:30:53.804 GMT-0800,19.274,19.266,0.0008,0.75
18.01.2022 06:30:53.855 GMT-0800,19.274,19.256,0.75,1
18.01.2022 06:30:54.791 GMT-0800,19.263,19.247,0.75,1
18.01.2022 06:30:55.501 GMT-0800,19.254,19.236,0.75,1
18.01.2022 06:30:56.066 GMT-0800,19.284000000000002,19.236,0.75,1
18.01.2022 06:30:56.167 GMT-0800,19.294,19.256,0.75,1
18.01.2022 06:30:56.268 GMT-0800,19.303,19.287000000000003,0.75,1
18.01.2022 06:30:56.483 GMT-0800,19.294,19.276,0.75,1
18.01.2022 06:30:56.584 GMT-0800,19.284000000000002,19.266,0.75,1
18.01.2022 06:30:57.074 GMT-0800,19.294,19.276,0.75,1
18.01.2022 06:30:58.342 GMT-0800,19.303,19.277,0.75,1
18.01.2022 06:30:58.392 GMT-0800,19.303,19.287000000000003,0.75,1
18.01.2022 06:30:59.672 GMT-0800,19.294,19.276,0.75,1
18.01.2022 06:31:00.368 GMT-0800,19.304000000000002,19.285999999999998,0.75,1
18.01.2022 06:31:01.235 GMT-0800,19.294,19.276,0.75,1
18.01.2022 06:31:02.269 GMT-0800,19.283,19.267,0.75,1
18.01.2022 06:31:04.721 GMT-0800,19.283,19.257,0.75,1
